Tenure,CityTier,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,CashbackPerOrder,CouponPerOrder,AppHoursPerDevice,IsNewCustomer,OrdersPerMonth,CashbackPerMonth,PreferredLoginDevice_Computer,PreferredLoginDevice_Mobile Phone,PreferredPaymentMode_Cash on Delivery,PreferredPaymentMode_Credit Card,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Female,Gender_Male,PreferedOrderCat_Fashion,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile Phone,PreferedOrderCat_Others,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Churn
8.0,1,27.0,2.0,3,2,2,25.0,0.0,1.0,7.0,140,140.0,0.0,0.6666666666666666,0,0.1111111111111111,15.555555555555555,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
0.0,1,14.0,3.0,4,3,2,11.0,1.0,1.0,2.0,140,140.0,1.0,0.75,1,1.0,140.0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1
5.0,3,32.0,3.0,3,2,1,18.0,1.0,2.0,2.0,145,72.5,0.5,1.0,0,0.3333333333333333,24.166666666666668,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
5.0,3,14.0,3.0,5,3,5,16.0,3.0,6.0,3.0,148,24.666666666666668,0.5,0.6,0,1.0,24.666666666666668,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
3.0,3,10.0,3.0,4,3,6,19.0,2.0,2.0,1.0,177,88.5,1.0,0.75,1,0.5,44.25,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
10.0,3,9.0,3.0,4,1,5,16.0,7.0,7.0,8.0,170,24.285714285714285,1.0,0.75,0,0.6363636363636364,15.454545454545455,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
0.0,1,14.0,3.0,3,1,2,13.0,1.0,1.0,4.0,126,126.0,1.0,1.0,1,1.0,126.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
5.0,1,14.0,3.0,4,2,3,15.0,3.0,5.0,11.0,196,39.2,0.6,0.75,0,0.8333333333333334,32.666666666666664,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
2.0,1,19.0,2.0,4,4,5,13.0,0.0,1.0,3.0,140,140.0,0.0,0.5,1,0.3333333333333333,46.666666666666664,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
1.0,1,11.0,3.0,4,1,3,21.0,3.0,3.0,3.0,154,51.333333333333336,1.0,0.75,1,1.5,77.0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
9.0,1,15.0,3.0,3,1,2,23.0,1.0,1.0,4.0,121,121.0,1.0,1.0,0,0.1,12.1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
2.0,3,12.0,4.0,4,1,3,15.0,1.0,2.0,3.0,174,87.0,0.5,1.0,1,0.6666666666666666,58.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
7.0,1,6.0,3.0,3,1,2,12.0,1.0,8.0,8.0,127,15.875,0.125,1.0,0,1.0,15.875,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
8.0,3,6.0,2.0,3,3,10,11.0,3.0,6.0,9.0,147,24.5,0.5,0.6666666666666666,0,0.6666666666666666,16.333333333333332,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
23.0,1,25.0,3.0,5,3,3,15.0,1.0,2.0,10.0,320,160.0,0.5,0.6,0,0.08333333333333333,13.333333333333334,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
15.0,1,14.0,2.0,3,3,5,13.0,1.0,1.0,0.0,140,140.0,1.0,0.6666666666666666,0,0.0625,8.75,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
30.0,3,28.0,4.0,4,1,6,15.0,1.0,2.0,1.0,304,152.0,0.5,1.0,0,0.06451612903225806,9.806451612903226,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
29.0,1,10.0,3.0,3,5,5,15.0,4.0,4.0,2.0,299,74.75,1.0,1.0,0,0.13333333333333333,9.966666666666667,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
10.0,1,13.0,4.0,2,5,5,14.0,2.0,2.0,3.0,181,90.5,1.0,2.0,0,0.18181818181818182,16.454545454545453,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
9.0,1,24.0,3.0,3,2,3,20.0,1.0,1.0,9.0,178,178.0,1.0,1.0,0,0.1,17.8,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
26.0,1,19.0,2.0,2,5,2,11.0,1.0,1.0,3.0,145,145.0,1.0,1.0,0,0.037037037037037035,5.37037037037037,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
10.0,1,13.0,4.0,2,5,5,14.0,1.0,2.0,3.0,181,90.5,0.5,2.0,0,0.18181818181818182,16.454545454545453,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
8.0,2,7.0,4.0,5,5,11,15.0,3.0,4.0,3.0,230,57.5,0.75,0.8,0,0.4444444444444444,25.555555555555557,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
9.0,1,18.0,3.0,4,3,9,12.0,1.0,3.0,3.0,152,50.666666666666664,0.3333333333333333,0.75,0,0.3,15.2,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
6.0,3,17.0,4.0,4,1,10,14.0,2.0,2.0,1.0,171,85.5,1.0,1.0,0,0.2857142857142857,24.428571428571427,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1.0,1,30.0,3.0,4,2,3,23.0,2.0,2.0,3.0,154,77.0,1.0,0.75,1,1.0,77.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
1.0,3,31.0,3.0,2,5,3,18.0,2.0,2.0,1.0,136,68.0,1.0,1.5,1,1.0,68.0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
3.0,1,8.0,4.0,4,1,2,19.0,3.0,10.0,8.0,142,14.2,0.3,1.0,1,2.5,35.5,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
30.0,1,12.0,3.0,5,4,4,14.0,2.0,2.0,3.0,231,115.5,1.0,0.6,0,0.06451612903225806,7.451612903225806,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
6.0,2,8.0,2.0,3,3,2,13.0,0.0,1.0,4.0,136,136.0,0.0,0.6666666666666666,0,0.14285714285714285,19.428571428571427,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
30.0,3,35.0,3.0,5,2,5,13.0,1.0,2.0,1.0,266,133.0,0.5,0.6,0,0.06451612903225806,8.580645161290322,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
8.0,1,12.0,3.0,5,1,3,15.0,1.0,5.0,14.0,165,33.0,0.2,0.6,0,0.5555555555555556,18.333333333333332,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1.0,3,33.0,4.0,4,1,3,12.0,1.0,2.0,9.0,181,90.5,0.5,1.0,1,1.0,90.5,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
1.0,3,26.0,3.0,5,4,3,19.0,1.0,2.0,1.0,149,74.5,0.5,0.6,1,1.0,74.5,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
26.0,1,13.0,2.0,3,3,4,18.0,1.0,4.0,7.0,286,71.5,0.25,0.6666666666666666,0,0.14814814814814814,10.592592592592593,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
13.0,1,15.0,3.0,4,3,3,12.0,2.0,2.0,8.0,163,81.5,1.0,0.75,0,0.14285714285714285,11.642857142857142,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
29.0,1,9.0,4.0,5,1,10,21.0,1.0,2.0,5.0,152,76.0,0.5,0.8,0,0.06666666666666667,5.066666666666666,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
28.0,2,26.0,3.0,4,4,4,16.0,3.0,2.0,2.0,232,116.0,1.5,0.75,0,0.06896551724137931,8.0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
9.0,1,6.0,3.0,4,5,2,12.0,3.0,3.0,2.0,122,40.666666666666664,1.0,0.75,0,0.3,12.2,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
0.0,3,14.0,2.0,2,4,1,22.0,0.0,1.0,2.0,149,149.0,0.0,1.0,1,1.0,149.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
1.0,1,24.0,4.0,6,3,3,16.0,2.0,2.0,3.0,148,74.0,1.0,0.6666666666666666,1,1.0,74.0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
7.0,1,6.0,3.0,3,5,6,14.0,1.0,1.0,3.0,130,130.0,1.0,1.0,0,0.125,16.25,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
9.0,3,23.0,4.0,4,4,2,16.0,4.0,7.0,10.0,205,29.285714285714285,0.5714285714285714,1.0,0,0.7,20.5,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
12.0,1,19.0,3.0,4,4,7,13.0,1.0,15.0,2.0,271,18.066666666666666,0.06666666666666667,0.75,0,1.1538461538461537,20.846153846153847,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
29.0,1,10.0,3.0,3,5,5,15.0,0.0,4.0,2.0,299,74.75,0.0,1.0,0,0.13333333333333333,9.966666666666667,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
1.0,1,9.0,3.0,2,2,3,13.0,2.0,2.0,4.0,180,90.0,1.0,1.5,1,1.0,90.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
1.0,1,13.0,3.0,5,3,3,14.0,3.0,3.0,3.0,150,50.0,1.0,0.6,1,1.5,75.0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
1.0,1,10.0,3.0,2,1,3,23.0,2.0,2.0,8.0,169,84.5,1.0,1.5,1,1.0,84.5,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
8.0,1,8.0,3.0,3,5,3,11.0,1.0,1.0,0.0,151,151.0,1.0,1.0,0,0.1111111111111111,16.77777777777778,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
12.0,1,28.0,2.0,3,5,2,13.0,1.0,2.0,8.0,209,104.5,0.5,0.6666666666666666,0,0.15384615384615385,16.076923076923077,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1.0,3,6.0,2.0,4,1,2,12.0,0.0,1.0,7.0,168,168.0,0.0,0.5,1,0.5,84.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
19.0,1,8.0,2.0,3,1,4,14.0,1.0,4.0,7.0,186,46.5,0.25,0.6666666666666666,0,0.2,9.3,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
2.0,1,6.0,2.0,3,3,2,13.0,0.0,1.0,9.0,143,143.0,0.0,0.6666666666666666,1,0.3333333333333333,47.666666666666664,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
4.0,1,6.0,2.0,5,5,2,21.0,1.0,8.0,7.0,150,18.75,0.125,0.4,0,1.6,30.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
14.0,1,7.0,3.0,4,4,5,23.0,2.0,2.0,4.0,149,74.5,1.0,0.75,0,0.13333333333333333,9.933333333333334,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
2.0,2,23.0,2.0,4,5,2,13.0,0.0,1.0,9.0,180,180.0,0.0,0.5,1,0.3333333333333333,60.0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
13.0,1,11.0,3.0,4,3,2,14.0,4.0,4.0,9.0,175,43.75,1.0,0.75,0,0.2857142857142857,12.5,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
0.0,3,14.0,2.0,4,5,7,17.0,1.0,1.0,2.0,153,153.0,1.0,0.5,1,1.0,153.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
0.0,3,26.0,3.0,5,3,4,11.0,1.0,2.0,2.0,146,73.0,0.5,0.6,1,2.0,146.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
4.0,1,13.0,2.0,3,1,2,14.0,4.0,4.0,10.0,171,42.75,1.0,0.6666666666666666,0,0.8,34.2,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
0.0,1,26.0,3.0,3,3,4,12.0,1.0,1.0,0.0,198,198.0,1.0,1.0,1,1.0,198.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1
18.0,3,15.0,3.0,4,3,2,13.0,4.0,4.0,12.0,156,39.0,1.0,0.75,0,0.21052631578947367,8.210526315789474,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
20.0,3,8.0,2.0,3,1,1,22.0,3.0,7.0,7.0,145,20.714285714285715,0.42857142857142855,0.6666666666666666,0,0.3333333333333333,6.904761904761905,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
7.0,1,7.0,3.0,2,4,3,14.0,2.0,2.0,3.0,180,90.0,1.0,1.5,0,0.25,22.5,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
16.0,1,14.0,2.0,3,4,5,21.0,1.0,1.0,0.0,148,148.0,1.0,0.6666666666666666,0,0.058823529411764705,8.705882352941176,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
19.0,1,27.0,4.0,4,2,2,15.0,1.0,2.0,11.0,260,130.0,0.5,1.0,0,0.1,13.0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
7.0,1,35.0,4.0,4,3,3,13.0,5.0,6.0,8.0,177,29.5,0.8333333333333334,1.0,0,0.75,22.125,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
9.0,1,25.0,3.0,2,5,3,12.0,1.0,2.0,11.0,177,88.5,0.5,1.5,0,0.2,17.7,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
3.0,3,28.0,3.0,3,5,1,11.0,2.0,7.0,8.0,184,26.285714285714285,0.2857142857142857,1.0,1,1.75,46.0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
23.0,1,6.0,2.0,4,3,3,15.0,1.0,1.0,2.0,137,137.0,1.0,0.5,0,0.041666666666666664,5.708333333333333,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
9.0,1,24.0,3.0,3,1,2,13.0,0.0,1.0,7.0,122,122.0,0.0,1.0,0,0.1,12.2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
5.0,3,8.0,2.0,3,4,1,13.0,1.0,1.0,2.0,141,141.0,1.0,0.6666666666666666,0,0.16666666666666666,23.5,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
9.0,2,9.0,2.0,3,4,4,11.0,0.0,1.0,3.0,123,123.0,0.0,0.6666666666666666,0,0.1,12.3,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
